displayName,date,description,name,value,tags,major_tags,stocksSummary,valuation,competitors_groups
Artel Video Systems,4/10/15,"Communications Specialties is a manufacturer of all-digital fiber optic transmission systems for video, audio and data, video scalers and scan converters.",Communications Specialties,,"['consumer goods', 'electronics', 'satellite', 'Manufacturing & Industrial', 'consumer electronics', 'communication equipment', 'telecommunications']",['Manufacturing & Industrial'],67270000,,1211
Bed Bath & Beyond,3/26/07,,Buy Buy Baby,,"['consumer goods', 'home improvement', 'distribution', 'home & garden', 'gifts', 'Retail', 'furniture']",['Retail'],1258066040,1258066040 USD,1153
Bed Bath & Beyond,6/20/03,,Christmas Tree Shops,,"['consumer goods', 'home improvement', 'distribution', 'home & garden', 'gifts', 'Retail', 'furniture']",['Retail'],1258066040,1258066040 USD,1153
Bed Bath & Beyond,5/9/12,,Cost Plus,,"['consumer goods', 'home improvement', 'distribution', 'home & garden', 'gifts', 'Retail', 'furniture']",['Retail'],1258066040,1258066040 USD,1153
Bed Bath & Beyond,4/7/17,"Decorist's mission is simple: make interior design personal, affordable and easy.",Decorist,,"['consumer goods', 'home improvement', 'distribution', 'home & garden', 'gifts', 'Retail', 'furniture']",['Retail'],1258066040,1258066040 USD,1153
Bed Bath & Beyond,6/1/12,,Harbor Linen,,"['consumer goods', 'home improvement', 'distribution', 'home & garden', 'gifts', 'Retail', 'furniture']",['Retail'],1258066040,1258066040 USD,1153
Bed Bath & Beyond,3/11/02,,Harmon Stores,,"['consumer goods', 'home improvement', 'distribution', 'home & garden', 'gifts', 'Retail', 'furniture']",['Retail'],1258066040,1258066040 USD,1153
Bed Bath & Beyond,8/11/15,,Of a KIng,,"['consumer goods', 'home improvement', 'distribution', 'home & garden', 'gifts', 'Retail', 'furniture']",['Retail'],1258066040,1258066040 USD,1153
Bed Bath & Beyond,6/14/16,One Kings Lane is a provider of an online retail site for home and lifestyle merchandise.,One Kings Lane,30000000 USD,"['consumer goods', 'home improvement', 'distribution', 'home & garden', 'gifts', 'Retail', 'furniture']",['Retail'],1258066040,1258066040 USD,1153
Bed Bath & Beyond,11/23/16,,PersonalizationMall.com,190000000 USD,"['consumer goods', 'home improvement', 'distribution', 'home & garden', 'gifts', 'Retail', 'furniture']",['Retail'],1258066040,1258066040 USD,1153
