,blacklisted,companyType,displayName,foundedYear,logo,parentCompany,stockTicker,stocksSummary,totalFunding,valuation
113,[],public,Toronto-Dominion Bank (TD),1955,{'url': 'https://uploads3.craft.co/uploads/company/logo/2566xx/256622/normal_3c404073075a6513.png'},,TD.TO,103670280000.0,0 USD,103670280000 USD
114,[],public,JAKKS Pacific,1995,{'url': 'https://uploads3.craft.co/uploads/company/logo/1219xx/121949/normal_JqXWjhtL.jpg'},,JAKK,29508710.0,75000000 USD,29508710 USD
115,[],public,HB Fuller,1887,{'url': 'https://uploads4.craft.co/uploads/company/logo/108xx/10864/normal_b3254fa2123b38dd.png'},,FUL,2306425680.0,0 USD,2306425680 USD
116,[],public,Macfarlane Group,1949,{'url': 'https://uploads1.craft.co/uploads/company/logo/2146xx/214618/normal__________-1.jpg'},,MACF.L,97820000.0,0 USD,
117,[],public,Sugarmade,2009,{'url': 'https://uploads5.craft.co/uploads/company/logo/2589xx/258937/normal_8b46307a4735a522.png'},,SGMD,29563795.0,0 USD,29563795 USD
118,[],public,Leggett & Platt,1883,{'url': 'https://uploads5.craft.co/uploads/company/logo/1282xx/128235/normal_b728e8ba113b9ee2.png'},,LEG,5091833100.0,0 USD,5091833100 USD
119,[],public,Tandy Leather Factory,1980,{'url': 'https://uploads4.craft.co/uploads/company/logo/127xx/12798/normal_5U708aNw.jpg'},,TLF,39756300.0,0 USD,39756300 USD
120,[],public,Lifetime Brands,1945,{'url': 'https://uploads4.craft.co/uploads/company/logo/1387xx/138719/normal_23f0927abaef895e.jpeg'},,LCUT,168341184.0,0 USD,168341184 USD
121,[],public,Prestige Brands Holdings,1996,{'url': 'https://uploads4.craft.co/uploads/company/logo/1860xx/186004/normal_3b212b7b10da3cd9.jpg'},,PBH,1783566150.0,0 USD,1783566150 USD
122,[],public,Packaging Corporation of America,1959,{'url': 'https://uploads4.craft.co/uploads/company/logo/111xx/11135/normal_e33c5faba9084c06.png'},,PKG,9806140170.0,0 USD,9806140170 USD
123,[],public,Synergy CHC,2010,{'url': 'https://uploads3.craft.co/uploads/company/logo/2572xx/257260/normal_cf26bf7742e719a2.jpg'},,SNYR,46400000.0,0 USD,46400000 USD
124,[],public,Gordmans Stores,1915,{'url': 'https://uploads4.craft.co/uploads/company/logo/1944xx/194477/normal_0CoQKwEv.jpeg'},,GMANQ,99373.5,0 USD,99373 USD
125,[],public,Compass Minerals,1968,{'url': 'https://uploads4.craft.co/uploads/company/logo/1683xx/168330/normal_59ec180234854eb1.png'},,CMP,1849727560.0,0 USD,1849727560 USD
126,[],private,The Hut Group,2004,{'url': 'https://uploads1.craft.co/uploads/company/logo/15xx/1576/normal_5209ccf45a2f7fe5.jpg'},,,,2841661420 USD,
127,[],public,Bonmarche,1982,{'url': 'https://uploads1.craft.co/uploads/company/logo/78xx/7811/normal_AAEAAQAAAAAAAAb_AAAAJGRjMWFkOGM4LTY4MDEtNDA0YS1hOGZjLTIxYjU2ZDc1NWQxOA.png'},,BON.L,44470000.0,0 USD,
128,[],public,Nasdaq,1971,{'url': 'https://uploads2.craft.co/uploads/company/logo/2279xx/227913/normal_b56595f467b8d555.jpg'},,NDAQ,16029083040.0,0 USD,16029083040 USD
129,[],public,Tennant,1870,{'url': 'https://uploads4.craft.co/uploads/company/logo/116xx/11610/normal_TennantLogo_tealbox_1in.jpg'},,TNC,1223807320.0,0 USD,1223807320 USD
130,[],public,Berry Global,1967,{'url': 'https://uploads4.craft.co/uploads/company/logo/1274xx/127471/normal_1f6d9a3aabca357f.png'},,BERY,5021121000.0,0 USD,5021121000 USD
131,[],public,Summer Infant,1985,{'url': 'https://uploads5.craft.co/uploads/company/logo/127xx/12793/normal_a0e755b45aec41be.jpg'},,SUMR,6817505.0,0 USD,6817505 USD
132,[],public,Rocky Brands,1932,{'url': 'https://uploads3.craft.co/uploads/company/logo/654xx/65453/normal_c19c183516f5caa6.jpg'},,RCKY,238405310.0,0 USD,238405310 USD
133,[],public,SunOpta,1973,{'url': 'https://uploads4.craft.co/uploads/company/logo/131xx/13152/normal_nLwmUTi2.jpeg'},{'displayName': 'Mascoma'},SOY.TO,194349610.0,85000000 USD,194349610 USD
134,[],public,AeroGrow International,2002,{'url': 'https://uploads1.craft.co/uploads/company/logo/1505xx/150575/normal_2f35a9db19cc8572.jpg'},,AERO,86710000.0,0 USD,86710000 USD
135,[],public,Panasonic,1918,{'url': 'https://uploads3.craft.co/uploads/company/logo/2xx/262/normal_78adb68325151067.jpg'},,6752.T,36080000000.0,0 USD,36080000000 USD
136,[],private,Decora Blind Systems,1979,{'url': 'https://uploads5.craft.co/uploads/company/logo/2510xx/251074/normal_5238e4703b4822bc.jpeg'},,,,0 USD,
137,[],public,Brunswick,1845,{'url': 'https://uploads4.craft.co/uploads/company/logo/105xx/10599/normal_e8e18a3e72351679.png'},,BC,4395084861.0,0 USD,4395084861 USD
138,[],private,Casper,2013,{'url': 'https://uploads5.craft.co/uploads/company/logo/1944xx/194453/normal_4294862aa7806d74.jpg'},,,,339700000 USD,1100000000 USD
139,[],public,Turning Point Brands,2004,{'url': 'https://uploads2.craft.co/uploads/company/logo/1386xx/138619/normal_6503d126f5abca7b.png'},,TPB,471595420.0,0 USD,471595420 USD
140,[],public,CSS Industries,1923,{'url': 'https://uploads2.craft.co/uploads/company/logo/1995xx/199535/normal_6de0b6575372b93c.png'},,CSS,34261110.0,0 USD,34261110 USD
141,[],public,N Brown Group,1875,{'url': 'https://uploads1.craft.co/uploads/company/logo/76xx/7601/normal_AAEAAQAAAAAAAASYAAAAJGJkMTQ4NDVlLWI5NjItNDVlMi05MDIzLTIzMjAzYTBiNTE0Nw.png'},,BWNG.L,851780000.0,0 USD,
142,[],public,Leatt,2005,{'url': 'https://uploads3.craft.co/uploads/company/logo/1604xx/160493/normal_849837f24d2dc2f6.jpg'},,LEAT,9650291.0,0 USD,9650291 USD
143,[],public,Central Garden & Pet Co,1980,{'url': 'https://uploads2.craft.co/uploads/company/logo/122xx/12224/normal_f72b95276330e945.jpg'},,CENT,1647242816.0,0 USD,1647242816 USD
